日付,曜日,勤務区分,開始時間,終了時間,勤務パターン,備考,現出,現退,休日出勤,休出タイプ,車両1,車両2,車両3,車両4,車両5,交通費1内容,交通費1金額,交通費2内容,交通費2金額,交通費3内容,交通費3金額,交通費4内容,交通費4金額,交通費5内容,交通費5金額,交通費6内容,交通費6金額,交通費7内容,交通費7金額,交通費8内容,交通費8金額,交通費9内容,交通費9金額,交通費10内容,交通費10金額,立替費1内容,立替費1金額,立替費2内容,立替費2金額,立替費3内容,立替費3金額,立替費4内容,立替費4金額,立替費5内容,立替費5金額,立替費6内容,立替費6金額,立替費7内容,立替費7金額,立替費8内容,立替費8金額,立替費9内容,立替費9金額,立替費10内容,立替費10金額
2025-04-01,火,日勤,07:00,17:20,通常 (9時間),,,,,,3792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,水,公休,09:00,18:00,通常 (9時間),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-03,木,法休,09:00,18:00,通常 (9時間),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-04,金,日勤,09:30,16:00,5.5 (6時間30分),,,,,,S-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-05,土,日勤,12:15,21:40,通常 (9時間),,,,,,FP-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,日,日勤,09:30,20:15,通常 (9時間),,,,,,ランクル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-07,月,泊り,17:30,24:00,5.5 (6時間30分),,,,,,AK-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-08,火,明け,00:00,11:30,10.5 (11時間30分),,,,,,AK-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-09,水,公休,09:00,18:00,通常 (9時間),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10,木,法休,09:00,18:00,通常 (9時間),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11,金,日勤,08:30,17:30,通常 (9時間),千代田,〇,〇,,,AHP-4,,,,,代々木公園〜永田町（往復）,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-12,土,日勤,10:30,19:30,通常 (9時間),,,,,,ミニバス660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-13,日,泊り,17:30,24:00,5.5 (6時間30分),,,,,,Z-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-14,月,明け,00:00,11:30,10.5 (11時間30分),,,,,,Z-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15,火,有休,09:00,18:00,通常 (9時間),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-16,水,公休,09:00,18:00,通常 (9時間),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
